2137,0,13
2138,0,14
2139,0,12
2140,0,18
2141,0,18
2142,0,17
2143,0,16
2144,0,13
2145,0,18
2146,0,9
2147,0,10
2148,0,14
2149,0,17
2150,0,12
2151,0,13
2152,0,10
2153,0,16
2154,0,10
2155,0,12
2156,0,16
2157,0,14
2158,0,14
2159,0,10
2160,0,11
2161,0,13
2162,0,13
2163,0,7
2164,0,10
2165,0,11
2166,0,9
2167,0,15
2168,0,14
2169,0,12
2170,0,8
2171,0,18
2172,0,9
2173,0,11
2174,0,6
2175,0,12
2176,0,11
2177,0,16
2178,0,9
2179,0,14
2180,0,12
2181,0,8
2182,0,12
2183,0,7
2184,0,11
2185,0,12
2186,0,10
2187,0,11
2188,0,9
2189,0,13
2190,0,9
2191,0,10
2192,0,7
2193,0,14
2194,0,7
2195,0,10
2196,0,12
2197,0,11
2198,0,7
2199,0,9
2200,0,12
2201,0,8
2202,0,15
2203,0,9
2204,0,7
2205,0,7
2206,0,6
2207,0,11
2208,0,8
2209,0,8
2210,0,12
2211,0,12
2212,0,7
2213,0,7
2214,0,9
2215,0,10
2216,0,5
2217,0,9
2218,0,10
2219,0,10
2220,0,5
2221,0,9
2222,0,6
2223,0,5
2224,0,8
2225,0,12
2226,0,4
2227,0,6
2228,0,10
2229,0,6
2230,0,7
2231,0,10
2232,0,5
2233,0,8
2234,0,13
2235,0,10
2236,0,5
2237,0,5
2238,0,6
2239,0,3
2240,0,4
2241,0,7
2242,0,11
2243,0,3
2244,0,10
2245,0,10
2246,0,8
2247,0,8
2248,0,9
2249,0,4
2250,0,5
2251,0,5
2252,0,8
2253,0,6
2254,0,5
2255,0,7
2256,0,7
2257,0,5
2258,0,4
2259,0,5
2260,0,5
2261,0,3
2262,0,6
2263,0,6
2264,0,10
2265,0,4
2266,0,6
2267,0,3
2268,0,6
2269,0,4
2270,0,5
2271,0,2
2272,0,7
2273,0,6
2274,0,8
2275,0,6
2276,0,3
2277,0,7
2278,0,4
2279,0,8
2280,0,4
2281,0,1
2282,0,1
2283,0,5
2284,0,4
2285,0,2
2286,0,8
2287,0,5
2288,0,7
2289,0,4
2290,0,8
2291,0,5
2292,0,5
2293,0,6
2294,0,2
2295,0,6
2296,0,2
2297,0,2
2298,0,5
2299,0,2
2300,0,5
2301,0,5
2302,0,5
2303,0,5
2304,0,4
2305,0,3
2306,0,4
2307,0,4
2308,0,3
2309,0,2
2310,0,2
2311,0,7
2312,0,2
2313,0,7
2314,0,2
2315,0,3
2316,0,5
2317,0,4
2318,0,3
2319,0,6
2320,0,1
2321,0,4
2322,0,4
2323,0,5
2324,0,1
2325,0,4
2326,0,3
2327,0,2
2328,0,1
2329,0,3
2330,0,4
2331,0,3
2332,0,6
2333,0,5
2334,0,4
2335,0,3
2336,0,0
2337,0,3
2338,0,2
2339,0,0
2340,0,7
2341,0,2
2342,0,5
2343,0,1
2344,0,4
2345,0,4
2346,0,2
2347,0,3
2348,0,3
2349,0,2
2350,0,2
2351,0,1
2352,0,3
2353,0,2
2354,0,2
2355,0,1
2356,0,1
2357,0,1
2358,0,4
2359,0,8
2360,0,2
2361,0,1
2362,0,3
2363,0,3
2364,0,1
2365,0,1
2366,0,1
2367,0,1
2368,0,2
2369,0,3
2370,0,3
2371,0,4
2372,0,1
2373,0,1
2374,0,0
2375,0,2
2376,0,2
2377,0,3
2378,0,1
2379,0,2
2380,0,3
2381,0,3
2382,0,0
2383,0,2
2384,0,4
2385,0,0
2386,0,0
2387,0,1
2388,0,2
2389,0,1
2390,0,3
2391,0,2
2392,0,1
2393,0,1
2394,0,3
2395,0,2
2396,0,0
2397,0,1
2398,0,1
2399,0,2
2400,0,3
2401,0,2
2402,0,2
2403,0,1
2404,0,2
2405,0,1
2406,0,1
2407,0,1
2408,0,0
2409,0,2
2410,0,2
2411,0,2
2412,0,2
2413,0,1
2414,0,1
2415,0,2
2416,0,0
2417,0,2
2418,0,1
2419,0,2
2420,0,3
2421,0,2
2422,0,0
2423,0,2
2424,0,2
2425,0,1
2426,0,3
2427,0,1
2428,0,0
2429,0,1
2430,0,0
2431,0,1
2432,0,2
2433,0,0
2434,0,2
2435,0,0
2436,0,2
2437,0,1
2438,0,1
2439,0,2
2440,0,2
2441,0,1
2442,0,1
2443,0,0
2444,0,0
2445,0,1
2446,0,0
2447,0,1
2448,0,1
2449,0,0
2450,0,3
2451,0,0
2452,0,2
2453,0,2
2454,0,0
2455,0,1
2456,0,0
2457,0,0
2458,0,1
2459,0,0
2460,0,0
2461,0,0
2462,0,1
2463,0,3
2464,0,0
2465,0,1
2466,0,1
2467,0,0
2468,0,0
2469,0,0
2470,0,0
2471,0,0
2472,0,1
2473,0,1
2474,0,0
2475,0,3
2476,0,1
2477,0,1
2478,0,1
2479,0,0
2480,0,0
2481,0,0
2482,0,0
2483,0,2
2484,0,1
2485,0,0
2486,0,0
2487,0,2
2488,0,1
2489,0,2
2490,0,0
2491,0,1
2492,0,1
2493,0,1
2494,0,1
2495,0,0
2496,0,0
2497,0,0
2498,0,0
2499,0,1
2500,0,2
2501,0,0
2502,0,0
2503,0,0
2504,0,1
2505,0,1
2506,0,0
2507,0,0
2508,0,0
2509,0,1
2510,0,0
2511,0,0
2512,0,0
2513,0,4
2514,0,0
2515,0,0
2516,0,0
2517,0,0
2518,0,0
2519,0,0
2520,0,1
2521,0,1
2522,0,2
2523,0,1
2524,0,0
2525,0,1
2526,0,1
2527,0,0
2528,0,0
2529,0,0
2530,0,0
2531,0,1
2532,0,0
2533,0,0
2534,0,1
2535,0,1
2536,0,0
2537,0,0
2538,0,0
2539,0,0
2540,0,0
2541,0,0
2542,0,0
2543,0,1
2544,0,0
2545,0,1
2546,0,0
2547,0,0
2548,0,1
2549,0,0
2550,0,1
2551,0,0
2552,0,1
2553,0,0
2554,0,0
2555,0,0
2556,0,1
2557,0,0
2558,0,0
2559,0,1
2560,0,0
2561,0,0
2562,0,0
2563,0,0
2564,0,0
2565,0,0
2566,0,1
2567,0,0
2568,0,1
2569,0,0
2570,0,1
2571,0,0
2572,0,0
2573,0,0
2574,0,0
2575,0,0
2576,0,2
2577,0,0
2578,0,0
2579,0,0
2580,0,1
2581,0,0
2582,0,0
2583,0,0
2584,0,0
2585,0,1
2586,0,1
2587,0,0
2588,0,0
2589,0,0
2590,0,1
2591,0,0
2592,0,0
2593,0,0
2594,0,0
2595,0,0
2596,0,0
2597,0,0
2598,0,0
2599,0,1
2600,0,0
2601,0,0
2602,0,1
2603,0,1
2604,0,0
2605,0,0
2606,0,0
2607,0,0
2608,0,0
2609,0,0
2610,0,0
2611,0,0
2612,0,0
2613,0,0
2614,0,0
2615,0,0
2616,0,0
2617,0,0
2618,0,0
2619,0,0
2620,0,0
2621,0,0
2622,0,0
2623,0,0
2624,0,0
2625,0,2
2626,0,0
2627,0,0
2628,0,0
2629,0,0
2630,0,0
2631,0,0
2632,0,0
2633,0,0
2634,0,0
2635,0,0
2636,0,0
2637,0,0
2638,0,0
2639,0,2
2640,0,0
2641,0,0
2642,0,0
2643,0,0
2644,0,0
2645,0,0
2646,0,0
2647,0,0
2648,0,0
2649,0,0
2650,0,0
2651,0,0
2652,0,0
2653,0,0
2654,0,0
2655,0,0
2656,0,0
2657,0,0
2658,0,0
2659,0,0
2660,0,0
2661,0,0
2662,0,0
2663,0,0
2664,0,0
2665,0,0
2666,0,0
2667,0,0
2668,0,0
2669,0,0
2670,0,0
2671,0,0
2672,0,0
2673,0,0
2674,0,0
2675,0,0
2676,0,0
2677,0,0
2678,0,0
2679,0,0
2680,0,0
2681,0,0
2682,0,1
2683,0,0
2684,0,0
2685,0,0
2686,0,1
2687,0,0
2688,0,0
2689,0,0
2690,0,0
2691,0,1
2692,0,0
2693,0,0
2694,0,0
2695,0,0
2696,0,0
2697,0,0
2698,0,0
2699,0,0
2700,0,0
2701,0,0
2702,0,0
2703,0,0
2704,0,0
2705,0,0
2706,0,0
2707,0,0
2708,0,0
2709,0,0
2710,0,0
2711,0,0
2712,0,1
2713,0,0
2714,0,0
2715,0,0
2716,0,0
2717,0,0
2718,0,0
2719,0,0
2720,0,0
2721,0,0
2722,0,0
2723,0,0
2724,0,0
2725,0,0
2726,0,0
2727,0,0
2728,0,0
2729,0,0
2730,0,0
2731,0,0
2732,0,0
2733,0,0
2734,0,0
2735,0,0
2736,0,0
2737,0,0
2738,0,0
2739,0,0
2740,0,0
2741,0,0
2742,0,0
2743,0,0
2744,0,0
2745,0,0
2746,0,0
2747,0,0
2748,0,0
2749,0,0
2750,0,0
2751,0,0
2752,0,0
2753,0,0
2754,0,0
2755,0,0
2756,0,0
2757,0,0
2758,0,0
2759,0,0
2760,0,0
2761,0,0
2762,0,0
2763,0,0
2764,0,0
2765,0,0
2766,0,0
2767,0,0
2768,0,0
2769,0,0
2770,0,0
2771,0,0
2772,0,0
2773,0,0
2774,0,0
2775,0,0
2776,0,0
2777,0,0
2778,0,0
2779,0,0
2780,0,0
2781,0,0
2782,0,0
2783,0,0
2784,0,0
2785,0,0
2786,0,0
2787,0,0
2788,0,0
2789,0,0
2790,0,0
2791,0,0
2792,0,0
2793,0,0
2794,0,0
2795,0,0
2796,0,0
2797,0,0
2798,0,0
2799,0,0
2800,0,0
2801,0,0
2802,0,0
2803,0,0
2804,0,0
2805,0,0
2806,0,0
2807,0,0
2808,0,0
2809,0,0
2810,0,0
2811,0,0
2812,0,0
2813,0,0
2814,0,0
2815,0,0
2816,0,0
2817,0,0
2818,0,0
2819,0,0
2820,0,0
2821,0,0
2822,0,0
2823,0,0
2824,0,0
2825,0,0
2826,0,0
2827,0,0
2828,0,0
2829,0,0
2830,0,0
2831,0,0
2832,0,0
2833,0,0
2834,0,0
2835,0,0
2836,0,0
2837,0,0
2838,0,0
2839,0,0
2840,0,0
2841,0,0
2842,0,0
2843,0,0
2844,0,0
2845,0,0
2846,0,0
2847,0,0
2848,0,0
2849,0,0
2850,0,0
2851,0,0
2852,0,0
2853,0,0
2854,0,0
2855,0,0
2856,0,0
2857,0,0
2858,0,0
2859,0,0
2860,0,0
2861,0,0
2862,0,0
2863,0,0
2864,0,0
2865,0,0
2866,0,0
2867,0,0
2868,0,0
2869,0,0
2870,0,0
2871,0,0
2872,0,0
2873,0,0
2874,0,0
2875,0,0
2876,0,0
2877,0,0
2878,0,0
2879,0,0
2880,0,0
2881,0,0
2882,0,0
2883,0,0
2884,0,0
2885,0,0
2886,0,0
2887,0,0
2888,0,0
2889,0,0
2890,0,0
2891,0,0
2892,0,0
2893,0,0
2894,0,0
2895,0,0
2896,0,0
2897,0,0
2898,0,0
2899,0,0
2900,0,0
2901,0,0
2902,0,0
2903,0,0
2904,0,0
2905,0,0
2906,0,0
2907,0,0
2908,0,0
2909,0,0
2910,0,0
2911,0,0
2912,0,0
2913,0,0
2914,0,0
2915,0,0
2916,0,0
2917,0,0
2918,0,0
2919,0,0
2920,0,0
2921,0,0
2922,0,0
2923,0,0
2924,0,0
2925,0,0
2926,0,0
2927,0,0
2928,0,0
2929,0,0
2930,0,0
2931,0,0
2932,0,0
2933,0,0
2934,0,0
2935,0,0
2936,0,0
2937,0,0
2938,0,0
2939,0,0
2940,0,0
2941,0,0
2942,0,0
2943,0,0
2944,0,0
2945,0,0
2946,0,0
2947,0,0
2948,0,0
2949,0,0
2950,0,0
2951,0,0
2952,0,0
2953,0,0
2954,0,0
2955,0,0
2956,0,0
2957,0,0
2958,0,0
2959,0,0
2960,0,0
2961,0,0
2962,0,0
2963,0,0
2964,0,0
2965,0,0
2966,0,0
2967,0,0
2968,0,0
2969,0,0
2970,0,0
2971,0,0
2972,0,0
2973,0,0
2974,0,0
2975,0,0
2976,0,0
2977,0,0
2978,0,0
2979,0,0
2980,0,0
2981,0,0
2982,0,0
2983,0,0
2984,0,0
2985,0,0
2986,0,0
2987,0,0
2988,0,0
2989,0,0
2990,0,0
2991,0,0
2992,0,0
2993,0,0
2994,0,0
2995,0,0
2996,0,0
2997,0,0
2998,0,0
2999,0,0
3000,0,0
3001,0,0
3002,0,0
3003,0,0
3004,0,0
3005,0,0
3006,0,0
3007,0,0
3008,0,0
3009,0,0
3010,0,0
3011,0,0
3012,0,0
3013,0,0
3014,0,0
3015,0,0
3016,0,0
3017,0,0
3018,0,0
3019,0,0
3020,0,0
3021,0,0
3022,0,0
3023,0,0
3024,0,0
3025,0,0
3026,0,0
3027,0,0
3028,0,0
3029,0,0
3030,0,0
3031,0,0
3032,0,0
3033,0,0
3034,0,0
3035,0,0
3036,0,0
3037,0,0
3038,0,0
3039,0,0
3040,0,0
3041,0,0
3042,0,0
3043,0,0
3044,0,0
3045,0,0
3046,0,0
3047,0,0
3048,0,0
3049,0,0
3050,0,0
3051,0,0
3052,0,0
3053,0,0
3054,0,0
3055,0,0
3056,0,0
3057,0,0
3058,0,0
3059,0,0
3060,0,0
3061,0,0
3062,0,0
3063,0,0
3064,0,0
3065,0,0
3066,0,0
3067,0,0
3068,0,0
3069,0,0
3070,0,0
3071,0,0
3072,0,0
3073,0,0
3074,0,0
3075,0,0
3076,0,0
3077,0,0
3078,0,0
3079,0,0
3080,0,0
3081,0,0
3082,0,0
3083,0,0
3084,0,0
3085,0,0
3086,0,0
3087,0,0
3088,0,0
3089,0,0
3090,0,0
3091,0,0
3092,0,0
3093,0,0
3094,0,0
3095,0,0
3096,0,0
3097,0,0
3098,0,0
3099,0,0
3100,0,0
3101,0,0
3102,0,0
3103,0,0
3104,0,0
3105,0,0
3106,0,0
3107,0,0
3108,0,0
3109,0,0
3110,0,0
3111,0,0
3112,0,0
3113,0,0
3114,0,0
3115,0,0
3116,0,0
3117,0,0
3118,0,0
3119,0,0
3120,0,0
3121,0,0
3122,0,0
3123,0,0
3124,0,0
3125,0,0
3126,0,0
3127,0,0
3128,0,0
3129,0,0
3130,0,0
3131,0,0
3132,0,0
3133,0,0
3134,0,0
3135,0,0
3136,0,0
3137,0,0
3138,0,0
3139,0,0
3140,0,0
3141,0,0
3142,0,0
3143,0,0
3144,0,0
3145,0,0
3146,0,0
3147,0,0
3148,0,0
3149,0,0
3150,0,0
3151,0,0
3152,0,0
3153,0,0
3154,0,0
3155,0,0
3156,0,0
3157,0,0
3158,0,0
3159,0,0
3160,0,0
3161,0,0
3162,0,0
3163,0,0
3164,0,0
3165,0,0
3166,0,0
3167,0,0
3168,0,0
3169,0,0
3170,0,0
3171,0,0
3172,0,0
3173,0,0
3174,0,0
3175,0,0
3176,0,0
3177,0,0
3178,0,0
3179,0,0
3180,0,0
3181,0,0
3182,0,0
3183,0,0
3184,0,0
3185,0,0
3186,0,0
3187,0,0
3188,0,0
3189,0,0
3190,0,0
3191,0,0
3192,0,0
3193,0,0
3194,0,0
3195,0,0
3196,0,0
3197,0,0
3198,0,0
3199,0,0
3200,0,0
3201,0,0
3202,0,0
3203,0,0
3204,0,0
3205,0,0
3206,0,0
3207,0,0
3208,0,0
3209,0,0
3210,0,0
3211,0,0
3212,0,0
3213,0,0
3214,0,0
3215,0,0
3216,0,0
3217,0,0
3218,0,0
3219,0,0
3220,0,0
3221,0,0
3222,0,0
3223,0,0
3224,0,0
3225,0,0
3226,0,0
3227,0,0
3228,0,0
3229,0,0
3230,0,0
3231,0,0
3232,0,0
3233,0,0
3234,0,0
3235,0,0
3236,0,0
3237,0,0
3238,0,0
3239,0,0
3240,0,0
3241,0,0
3242,0,0
3243,0,0
3244,0,0
3245,0,0
3246,0,0
3247,0,0
3248,0,0
3249,0,0
3250,0,0
3251,0,0
3252,0,0
3253,0,0
3254,0,0
3255,0,0
3256,0,0
3257,0,0
3258,0,0
3259,0,0
3260,0,0
3261,0,0
3262,0,0
3263,0,0
3264,0,0
3265,0,0
3266,0,0
3267,0,0
3268,0,0
3269,0,0
3270,0,0
3271,0,0
3272,0,0
3273,0,0
3274,0,0
3275,0,0
3276,0,0
3277,0,0
3278,0,0
3279,0,0
3280,0,0
3281,0,0
3282,0,0
3283,0,0
3284,0,0
3285,0,0
3286,0,0
3287,0,0
3288,0,0
3289,0,0
3290,0,0
3291,0,0
3292,0,0
3293,0,0
3294,0,0
3295,0,0
3296,0,0
3297,0,0
3298,0,0
3299,0,0
3300,0,0
3301,0,0
3302,0,0
3303,0,0
3304,0,0
3305,0,0
3306,0,0
3307,0,0
3308,0,0
3309,0,0
3310,0,0
3311,0,0
3312,0,0
3313,0,0
3314,0,0
3315,0,0
3316,0,0
3317,0,0
3318,0,0
3319,0,0
3320,0,0
3321,0,0
3322,0,0
3323,0,0
3324,0,0
3325,0,0
3326,0,0
3327,0,0
3328,0,0
3329,0,0
3330,0,0
3331,0,0
3332,0,0
3333,0,0
3334,0,0
3335,0,0
3336,0,0
3337,0,0
3338,0,0
3339,0,0
3340,0,0
3341,0,0
3342,0,0
3343,0,0
3344,0,0
3345,0,0
3346,0,0
3347,0,0
3348,0,0
3349,0,0
3350,0,0
3351,0,0
3352,0,0
3353,0,0
3354,0,0
3355,0,0
3356,0,0
3357,0,0
3358,0,0
3359,0,0
3360,0,0
3361,0,0
3362,0,0
3363,0,0
3364,0,0
3365,0,0
3366,0,0
3367,0,0
3368,0,0
3369,0,0
3370,0,0
3371,0,0
3372,0,0
3373,0,0
3374,0,0
3375,0,0
3376,0,0
3377,0,0
3378,0,0
3379,0,0
3380,0,0
3381,0,0
3382,0,0
3383,0,0
3384,0,0
3385,0,0
3386,0,0
3387,0,0
3388,0,0
3389,0,0
